matched,code,display,definition,parent_code,parent_display,lvl1_code,lvl1_display,display_en,definition_en,lvl1_display_en,parent_display_en
SonstigerAntrag,AM010299,Sonstiger Antrag,"Die Dokumentation beinhaltet Angaben, die nicht in einer spezifischeren KDL dieser Unterklasse abgebildet werden kann. Inkl.: Antrag auf Haushaltshilfe",AM0102,Anträge,AM,Administration,Other application,The documentation contains information that cannot be represented in a more specific KDL of this subclass. Including: Application for household assistance.,Administration,Applications
SonstigerAssessmentbogen,VL010199,Sonstiger Assessmentbogen,"Die Dokumentation beinhaltet Angaben, die nicht in einer spezifischeren KDL dieser Unterklasse abgebildet werden kann. Inkl.: Atemskala, COPD Assessment, Delirium Screening, Finnegan Score, Hornheider Screening Instrument, Karnofsky Index, Wortfindungstest, Schreibprobe, Dubowitz Score",VL0101,Assessmentbögen,VL,Verlauf,Other assessment form,"The documentation contains information that cannot be represented in a more specific KDL of this subclass. Including: respiratory scale, COPD assessment, delirium screening, Finnegan score, Hornheider screening instrument, Karnofsky index, word-finding test, writing sample, Dubowitz score.",Course,Assessment sheets
SonstigerAufklärungsbogen,AM010399,Sonstiger Aufklärungsbogen,"Die Dokumentation beinhaltet Angaben, die nicht in einer spezifischeren KDL dieser Unterklasse abgebildet werden kann. Inkl.: Aufklärung - Zentralvenöser Katheter, Aufklärungsbogen - Geburtseinleitung, Aufklärung - Anwesenheit des Vaters/ einer Vertrauensperson bei der Entbindung, Aufklärung - Eigenblutspende einschließlich Eigenblutrückübertragung",AM0103,Aufklärungen,AM,Administration,Other information sheet,"The documentation contains information that cannot be represented in a more specific KDL of this subclass. Includes: Information - Central Venous Catheter, Information Sheet - Induction of Labor, Information - Presence of the Father/a Trusted Person at Delivery, Information - Autologous Blood Donation including Autologous Blood Transfusion",Administration,Clarifications
SonstigerIntensivdokumentationsbogen,VL090199,Sonstiger Intensivdokumentationsbogen,"Die Dokumentation beinhaltet Angaben, die nicht in einer spezifischeren KDL dieser Unterklasse abgebildet werden kann. Inkl.: Dokumentation Therapiebegrenzung, Hämodynamische Verlaufsdokumentation, PICCO Protokoll.",VL0901,Intensivmedizinische Dokumente,VL,Verlauf,Other intensive care documentation form,"The documentation contains information that cannot be represented in a more specific KDL of this subclass. Includes: documentation of treatment limitations, hemodynamic progress documentation, PICCO protocol.",Course,Intensive care documents
SonstigerSchriftverkehr,AM190199,Sonstiger Schriftverkehr,"Die Dokumentation beinhaltet Angaben, die nicht in einer spezifischeren KDL dieser Unterklasse abgebildet werden kann. Inkl.: KBV Muster 53 (Anfrage zum Zusammenhang von Arbeitsunfähigkeitszeiten), Mitteilung Termin, Übersendung Unterlagen, Mitteilung Termin stationäre Aufnahme",AM1901,Schriftverkehr,AM,Administration,Other correspondence,"The documentation contains information that cannot be represented in a more specific KDL of this subclass. Includes: KBV Form 53 (request regarding the connection between periods of incapacity for work), notification of appointment, submission of documents, notification of inpatient admission date.",Administration,Correspondence
SonstigeronkologischerDokumentationsbogen,SD150199,Sonstiger onkologischer Dokumentationsbogen,"Die Dokumentation beinhaltet Angaben, die nicht in einer spezifischeren KDL dieser Unterklasse abgebildet werden kann. Inkl.: Checkliste für Tumorpatienten, Psychoonkologische Basisdokumentation, Tumorverlaufsblatt",SD1501,Onkologische Dokumente,SD,Spezielle Dokumentation,Other oncological documentation form,"The documentation contains information that cannot be represented in a more specific KDL of this subclass. Includes: Checklist for cancer patients, basic psycho-oncological documentation, tumor progression sheet",Special documentation,Oncology documents
SonstigesDokumentSozialdienst,AM190299,Sonstiges Dokument Sozialdienst,"Die Dokumentation beinhaltet Angaben, die nicht in einer spezifischeren KDL dieser Unterklasse abgebildet werden kann. Inkl.: Anforderung Sozialdienst, Meldung an Sozialdienst, Verlaufsdokumentation Sozialdienst",AM1902,Sozialdienst,AM,Administration,Other Document Social Services,"The documentation contains information that cannot be represented in a more specific KDL of this subclass. Including: social services request, social services notification, social services progress documentation.",Administration,Social services
SonstigesFunktionstherapieprotokoll,TH060199,Sonstiges Funktionstherapieprotokoll,"Die Dokumentation beinhaltet Angaben, die nicht in einer spezifischeren KDL dieser Unterklasse abgebildet werden kann. Inkl.: Fototherapie, Hypothermiebogen, Reittherapie. Exkl.: Spezialtherapeutische Verlaufsdokumentation",TH0601,Funktionstherapien,TH,Therapie,Other Functional therapy protocol,"The documentation contains information that cannot be represented in a more specific KDL of this subclass. Includes: phototherapy, hypothermia arc, horse riding therapy. Excludes: special therapeutic progress documentation.",therapy,Functional therapies
SonstigesProtokollPatientenschulung,TH160199,Sonstiges Protokoll Patientenschulung,"Die Dokumentation beinhaltet Angaben, die nicht in einer spezifischeren KDL dieser Unterklasse abgebildet werden kann. Inkl.: Anmeldung Patientenschulung, Exkl.: Diabetesberatung",TH1601,Patientenschulungen,TH,Therapie,Other Protocol Patient Education,"The documentation contains information that cannot be represented in a more specific KDL of this subclass. Incl.: Patient education registration, Excl.: Diabetes counseling",therapy,Patient training
SonstigesQualitätssicherungsdokument,AM170199,Sonstiges Qualitätssicherungsdokument,"Die Dokumentation beinhaltet Angaben, die nicht in einer spezifischeren KDL dieser Unterklasse abgebildet werden kann. Inkl.: Komplikationsbogen, Leitfäden, Nachbehandlungsschema, Leitlinien, Verfahrensanweisung. Exkl.: SOP im Kontext Klinische Studien",AM1701,Qualitätssicherungen,AM,Administration,Other Quality Assurance Document,"The documentation contains information that cannot be represented in a more specific clinical documentation of this subclass. Includes: Complication forms, guidelines, post-treatment protocols, guidelines, and procedural instructions. Excludes: SOPs in the context of clinical trials.",Administration,Quality assurance
SonstigespatienteneigenesDokument,AM160199,Sonstiges patienteneigenes Dokument,"Die Dokumentation beinhaltet Angaben, die nicht in einer spezifischeren KDL dieser Unterklasse abgebildet werden kann. Inkl.: Ausweis Antikoagulanzienbehandlung, Urkunde (Notar), Zeugnis",AM1601,Patienteneigene Dokumente,AM,Administration,Other patient-specific document,"The documentation contains information that cannot be represented in a more specific KDL of this subclass. Includes: anticoagulant treatment certificate, notary certificate, and certificate.",Administration,Patient-specific documents
Sonstigespsychiatrisch-psychotherapeutischesDokument,SD160199,Sonstiges psychiatrisch-psychotherapeutisches Dokument,"Die Dokumentation beinhaltet Angaben, die nicht in einer spezifischeren KDL dieser Unterklasse abgebildet werden kann. Inkl.: Psychischer Untersuchungsbefund, Psychopathologischer Befund",SD1601,Dokumente Psychiatrie - Psychotherapie,SD,Spezielle Dokumentation,Other psychiatric-psychotherapeutic document,"The documentation contains information that cannot be represented in a more specific KDL of this subclass. Including: mental health examination findings, psychopathological findings",Special documentation,Documents Psychiatry - Psychotherapy
Stammblatt,AU010105,Stammblatt,Die Dokumentation beinhaltet zusammengefasst administrative und persönliche Daten im Überblick.,AU0101,Aufnahmedokumente,AU,Aufnahme,master sheet,The documentation contains a summary of administrative and personal data.,Admission,Admission documents
Stomadokumentation,VL040312,Stomadokumentation,Die Dokumentation beinhaltet Angaben zur Erst-und Folgeversorgung eines künstlichen Ausganges.,VL0403,Durchführungsnachweise,VL,Verlauf,Stoma documentation,The documentation includes information on the initial and subsequent care of an artificial exit.,Course,Evidence of implementation
Sturzprotokoll,VL160109,Sturzprotokoll,Die Dokumentation beinhaltet Angaben zu einem Sturz und den daraus resultierenden Maßnahmen.,VL1601,Pflegedokumente,VL,Verlauf,Fall report,The documentation includes information about a fall and the resulting measures.,Course,Care documents
Szintigraphiebefund,DG020113,Szintigraphiebefund,"Die Dokumentation beinhaltet Ergebnisse einer nuklearmedizinischen Untersuchung, mittels Gabe einer radioaktiven Substanz, bei welcher Entzündungen oder Tumore in Organen und Knochen bildlich dargestellt und ausgewertet werden. Exkl.: PET-Befund, SPECT-Befund",DG0201,Bildgebende Diagnostiken,DG,Diagnostik,Scintigraphy findings,"The documentation includes the results of a nuclear medicine examination, which involves administering a radioactive substance to visualize and evaluate inflammation or tumors in organs and bones. Excl.: PET findings, SPECT findings",Diagnostics,Imaging diagnostics
Teambesprechungsprotokoll,AD060107,Teambesprechungsprotokoll,"Die Dokumentation beinhaltet Angaben zu einer interdisziplinären Beratung über den aktuellen Gesundheitszustand mit Risikeinschätzung, Indikationsstellung und der Planung des weiteren Verlaufes/Vorgehens inkl. beteiligte Berufsgruppen/Facharztgruppen (z.B. Herzteam-Protokoll). Exkl.: Tumorkonferenzprotokoll",AD0601,Fallbesprechungen,AD,Arztdokumentation,Team meeting minutes,"The documentation includes information on an interdisciplinary consultation regarding the current health status, including risk assessment, indication, and planning of the further course of treatment/procedure, including the professional groups/specialists involved (e.g., heart team protocol). Excl.: Tumor conference protocol",Medical documentation,Case discussions
Todesbescheinigung,AD020103,Todesbescheinigung,"Die Dokumentation beinhaltet Angaben zum Verstorbenen, zur Feststellung des Todes, zur Todesart sowie weiteren Zusatzangaben. Inkl.: Leichenbegleitschein, Sterbefallanzeige",AD0201,Bescheinigungen,AD,Arztdokumentation,death certificate,"The documentation includes information about the deceased, the determination of death, the cause of death, and other additional information. Includes: death certificate, death notification",Medical documentation,Certificates
Tumorkonferenzprotokoll,SD150103,Tumorkonferenzprotokoll,"Die Dokumentation beinhaltet Ergebnisse des Zusammentreffens von verschiedenen Fachärzten, über die Beratung der weiteren Behandlung von Tumorerkrankungen.",SD1501,Onkologische Dokumente,SD,Spezielle Dokumentation,Tumor conference protocol,The documentation includes results of meetings between various specialists to discuss further treatment of tumor diseases.,Special documentation,Oncology documents
Urinbefund,LB130102,Urinbefund,"Die Dokumentation beinhaltet Ergebnisse der Urin-Untersuchung, um Erkrankungen der Harnorgane und Stoffwechselstörungen festzustellen. Exkl.: Mikrobiologiebefund, Laborbefund intern/extern",LB1301,Mikrobiologie,LB,Labor,Urine findings,"The documentation includes results of urine tests to determine urinary tract diseases and metabolic disorders. Excl.: microbiology findings, internal/external laboratory results",Laboratory,microbiology
Uroflowmetrie,DG060124,Uroflowmetrie,"Die Dokumentation beinhaltet Ergebnisse einer urologischen Untersuchungsmethode, bei der eine Messung der Menge und Dauer des Harnflusses vorgenommen wird. Inkl.: Urodynamische Untersuchung",DG0601,Funktionsdiagnostiken,DG,Diagnostik,Uroflowmetry,The documentation includes the results of a urological examination method that measures the volume and duration of urine flow. Includes: Urodynamic examination,Diagnostics,Functional diagnostics
Verlaufsdokumentationsbogen,VL160111,Verlaufsdokumentationsbogen,Die Dokumentation beinhaltet Angaben zum chronologischen Verlauf des Gesundheitszustandes und der durchgeführten Maßnahmen.,VL1601,Pflegedokumente,VL,Verlauf,Progress documentation sheet,The documentation includes information on the chronological course of the health condition and the measures taken.,Course,Care documents
Verlegungsberichtintern,AD010106,Verlegungsbericht intern,"Die Dokumentation beinhaltet die endgültige Zusammenfassung des stationären Aufenthaltes für die Verlegung auf eine andere Station, Fachbereich oder Einrichtung. Exkl.: Entlassungsbericht intern, Verlegungsschein intern; Hinw.: Diese KDL-Dokumentenklasse wird ab 1. Januar 2026 obsolet. Die Abbildung ist ab sofort mit der KDL AD010116 (Verlegungsbericht) möglich.",AD0101,Arztberichte,AD,Arztdokumentation,Relocation report internal,"This documentation contains the final summary of the inpatient stay for transfer to another ward, department, or facility. Excl.: Internal discharge report, internal transfer certificate; Note: This KDL document class will be obsolete as of January 1, 2026. Imaging is now possible with KDL AD010116 (transfer report).",Medical documentation,Medical reports
VerordnungvonKrankenhausbehandlung,AU050101,Verordnung von Krankenhausbehandlung,Die Dokumentation beinhaltet Angaben zum Grund der stationären Aufnahme. Standardisiertes Einweisungsdokument gemäß Kassenärztliche Bundesvereinigung (KBV Muster 2).,AU0501,Einweisungs-/ Überweisungsdokumente,AU,Aufnahme,Prescription of hospital treatment,The documentation includes information on the reason for inpatient admission. It is a standardized admission document according to the National Association of Statutory Health Insurance Physicians (KBV Sample 2).,Admission,Admission/referral documents
Visitenprotokoll,AD060105,Visitenprotokoll,"Die Dokumentation beinhaltet Angaben zu einer ärztlichen, therapeutischen und pflegerischen Besprechung zum aktuellen Zustand sowie weitere Maßnahmen. Visiten erfolgen in der Regel direkt im Beisein des zu Behandelnden. Exkl.: Ärztlicher Verlaufsbericht, Pflegevisite, Apotheke Visitenprotokoll",AD0601,Fallbesprechungen,AD,Arztdokumentation,Visit protocol,"The documentation includes information on a medical, therapeutic, and nursing discussion regarding the current condition, as well as other measures. Visits are usually conducted directly in the presence of the patient being treated. Excl.: medical progress report, nursing visit, pharmacy visit log.",Medical documentation,Case discussions
VorläufigerArztbericht,AD010108,Vorläufiger Arztbericht,Die Dokumentation beinhaltet die vorläufige Fassung des Entlassungsberichtes.,AD0101,Arztberichte,AD,Arztdokumentation,Preliminary medical report,The documentation includes the preliminary version of the discharge report.,Medical documentation,Medical reports
Wahlleistungsvertrag,AM220102,Wahlleistungsvertrag,"Die Dokumentation beinhaltet Angaben zu zusätzlich gewählten Leistungen, während einer Behandlung, zwischen Einrichtung und Patient.",AM2201,Verträge,AM,Administration,Optional service contract,The documentation includes information on additional services selected during treatment between the facility and the patient.,Administration,Contracts
Wertgegenständeverwaltung,AM160105,Wertgegenständeverwaltung,"Die Dokumentation beinhaltet eine Sachauflistung zu Gegenständen, die bei Aufnahme mit in die Einrichtung gebracht wurden. Inkl.: Nachweise über Ein- und Ausgang von Geld, Verlustmeldungen",AM1601,Patienteneigene Dokumente,AM,Administration,Valuables management,"The documentation includes a list of items brought into the facility upon admission. This includes: receipts of money received and withdrawn, and loss reports.",Administration,Patient-specific documents
Widerspruchsbegründung,AM190113,Widerspruchsbegründung,Die Dokumentation beinhaltet den (medizinischen) Widerspruch gegen einen Leistungsentscheid. Exkl.: Ärztlicher Widerspruch im laufenden MD-Verfahren (Schriftkehr MD Arzt),AM1901,Schriftverkehr,AM,Administration,Grounds for objection,The documentation includes the (medical) appeal against a benefit decision. Excl.: Medical appeal in ongoing medical treatment proceedings (MD doctor's correspondence).,Administration,Correspondence
Wunddokumentationsbogen,VL230101,Wunddokumentationsbogen,"Die Dokumentation beinhaltet Angaben zu Hautdefekten, deren Lokalisation, Versorgung und Beschreibung. Inkl.: Wundkonsil",VL2301,Wunddokumente,VL,Verlauf,Wound documentation form,"The documentation includes information on skin defects, their location, treatment, and description. Includes: wound consultation",Course,Wound documents
ÄrztlicheStellungnahme,AD010101,Ärztliche Stellungnahme,"Die Dokumentation beinhaltet die ärztliche Einschätzung zum Gesundheitszustand für nachfolgende Zwecke. Inkl.: Gutachten, Unfallanzeige, KBV Muster 36, PTV5/8, Ärztliches Zeugnis, Dokumentation von Therapiezielen/Therapiezieländerungen Exkl.: MD-Gutachten",AD0101,Arztberichte,AD,Arztdokumentation,Medical opinion,"The documentation includes the medical assessment of the patient's state of health for the following purposes. Includes: expert opinion, accident report, KBV Form 36, PTV5/8, medical certificate, documentation of therapy goals/changes in therapy goals. Excludes: MD report.",Medical documentation,Medical reports
ÄrztlicherFragebogen,AD020207,Ärztlicher Fragebogen,"Die Dokumentation beinhaltet Angaben zu gezielten Fragen, die ausschließlich durch einen Arzt beantwortet werden. z.B. Ärztlicher Fragebogen zur Aufnahme in die vollstationäre Pflege, Kurzzeitpflege oder Tagespflege.",AD0202,Befunderhebungen,AD,Arztdokumentation,Medical questionnaire,"The documentation contains information on specific questions that can only be answered by a physician. For example, a medical questionnaire for admission to inpatient care, short-term care, or day care.",Medical documentation,Findings
ÄrztlicherVerlaufsbericht,AD010110,Ärztlicher Verlaufsbericht,Die Dokumentation beinhaltet Angaben zum chronologischen Verlauf der Erkrankung und durchgeführten Maßnahmen aus Sicht des Arztes. Inkl.: Standardisierte Formulare zur ärztlichen Verlaufsdokumentation Exkl.: Visitenprotokoll,AD0101,Arztberichte,AD,Arztdokumentation,Medical report,The documentation includes information on the chronological progression of the disease and the measures taken from the physician's perspective. Includes: Standardized forms for medical progress documentation. Excludes: Visit log.,Medical documentation,Medical reports
ÜbersichtabrechnungsrelevanterDiagnosen/Prozeduren,AM010101,Übersicht abrechnungsrelevanter Diagnosen / Prozeduren,"Die Dokumentation beinhaltet alle Diagnosen und Leistungen im Rahmen einer Behandlung, welche die Grundlage zur Abrechnung beim jeweiligen Kostenträger bilden.",AM0101,Abrechnungsdokumente,AM,Administration,Overview of billing-relevant diagnoses/procedures,"The documentation includes all diagnoses and services within the scope of treatment, which form the basis for billing to the respective cost carrier.",Administration,Billing documents
Überwachungsprotokoll,VL160110,Überwachungsprotokoll,"Die Dokumentation beinhaltet Angaben zur engmaschigen, pflegerischen Überwachung über einen bestimmten Zeitraum. Exkl.: Monitoringausdruck",VL1601,Pflegedokumente,VL,Verlauf,Audit log,The documentation includes information on close nursing monitoring over a specific period of time. Excl.: Monitoring printout,Course,Care documents
